"","continente","topic","value"
"159","Europa","Topic34",-0.290307341232873
"160","Europa","Topic94",-0.224683501268043
"161","Europa","Topic30",-0.31202667718537
"162","Europa","Topic81",-0.00749175080392538
"163","Europa","Topic33",-0.0522443021421459
"164","Europa","Topic58",-0.480093887787035
"165","Europa","Topic22",0.170856280998957
"166","Europa","Topic10",0.170296801934419
"167","Europa","Topic57",-0.325462481553164
"168","Europa","Topic11",-0.135243194008385
"169","Europa","Topic09",0.289777087485579
"170","Europa","Topic54",0.277902294078055
"171","Europa","Topic91",-0.236824937533578
"172","Europa","Topic90",0.174883792879132
"173","Europa","Topic23",-0.207264578892556
"174","Europa","Topic17",0.315529499136099
"175","Europa","Topic55",0.167065977325464
"176","Europa","Topic62",-0.282710930141019
"177","Europa","Topic74",-0.0680102773045863
"178","Europa","Topic32",0.180636212262184
"179","Europa","Topic07",-0.120843772871245
"180","Europa","Topic92",0.00179112104870242
"181","Europa","Topic73",0.406899894434331
"182","Europa","Topic19",0.00772944413369227
"183","Europa","Topic41",0.0355299554838774
"184","Europa","Topic06",-0.150687200892099
"185","Europa","Topic63",-0.0166257238782229
"186","Europa","Topic08",0.291855450653282
"187","Europa","Topic12",0.157078578523647
"188","Europa","Topic03",-0.160631016682935
"189","Europa","Topic52",0.329019249707929
"190","Europa","Topic43",0.285314059033979
"191","Europa","Topic21",0.37700092789512
"192","Europa","Topic96",0.207948430751338
"193","Oceania","Topic80",-0.266698042650056
"194","Oceania","Topic38",-0.319932135361944
"195","Oceania","Topic36",-0.197885778915442
"196","Oceania","Topic18",1.07252848843489
"197","Oceania","Topic87",0.425211971485557
"198","Oceania","Topic04",0.283601364052881
"199","Oceania","Topic37",-0.0323801422003262
"200","Oceania","Topic16",0.751989373811243
"201","Oceania","Topic99",0.449784338787913
"202","Oceania","Topic60",0.387876848139125
"203","Oceania","Topic78",-0.176479965726348
"204","Oceania","Topic97",-0.00349625249708041
"205","Oceania","Topic95",-0.297316000420891
"206","Oceania","Topic59",0.183086895675626
"207","Oceania","Topic34",-0.281093227010286
"208","Oceania","Topic94",0.322992805617795
"209","Oceania","Topic30",-0.0254704027626375
"210","Oceania","Topic81",1.19914744902693
"211","Oceania","Topic33",-0.0488016204174574
"212","Oceania","Topic58",-0.368049358573718
"213","Oceania","Topic22",-0.325155059198499
"214","Oceania","Topic10",-0.472621238257516
"215","Oceania","Topic57",0.0457256623182612
"216","Oceania","Topic11",-0.331683707382442
"217","Oceania","Topic09",-0.189146494790553
"218","Oceania","Topic54",-0.45939641462828
"219","Oceania","Topic91",0.0840196536139614
"220","Oceania","Topic90",-0.487560909144514
"221","Oceania","Topic23",-0.208532239578608
"222","Oceania","Topic17",0.197359698834754
"223","Oceania","Topic55",0.953299016475976
"224","Oceania","Topic62",-0.0865023475366324
"225","Oceania","Topic74",-0.0549672529972982
"226","Oceania","Topic32",0.118013672402982
"227","Oceania","Topic07",0.330191657515559
"228","Oceania","Topic92",-0.278630655828354
"229","Oceania","Topic73",-0.192849646900902
"230","Oceania","Topic19",0.380170120586606
"231","Oceania","Topic41",-0.28259133714433
"232","Oceania","Topic06",-0.00163492462194661
"233","Oceania","Topic63",-0.568692854983569
"234","Oceania","Topic08",-0.540076370035781
"235","Oceania","Topic12",-0.64121926050857
"236","Oceania","Topic03",-0.0900777342707318
"237","Oceania","Topic52",-0.012467951750392
"238","Oceania","Topic43",-0.601594400907432
"239","Oceania","Topic21",1.67107249585166
"240","Oceania","Topic96",1.08890426383141
